Id,RowType,Pattern,Seed,Center,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
461,TERRAIN,lmmmhm,4907,AVG,l,m,m,m,h,m,l,l,m,m,m,m,m,h,m,m,h,m,l,l,m,m,l,m,l,l,l,h,m,m,l,m,l,m,l,m,l,m,m,m,l,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
461,RIVER,0-19,19-22,22-32,25-32,25-40,37-40,30-37,29-37,23-37,23-38,23-34,28-34,11-34,10-11,0-6,0-22,8-9,8-26,26-35,26-36,36-38,37-38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
461,BRIDGE,19-22,37-38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
461,CLIFF,16-17,16-21*,12-13,12-27,27-28*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
461,MARK,star-37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
521,TERRAIN,lmhmmm,2117,AVG,l,m,h,m,m,m,l,l,m,h,m,m,h,m,m,m,m,m,l,l,m,l,m,h,m,l,h,h,l,l,m,m,m,h,l,h,m,l,h,m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
521,RIVER,0-19,0-34,6-34,22-34,34-38,28-38,28-33,20-33,20-32,17-32,16-17,0-6,14-15,15-36,36-39,31-39,31-33,23-33,33-38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
521,BRIDGE,6-34,23-33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
521,CLIFF,8-9,8-27,21-27*,12-13,12-25,12-37,26-37,35-37*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
721,TERRAIN,mmhmhh,3898,AVG,m,m,h,m,h,h,m,m,m,h,m,m,h,m,m,h,m,h,m,h,m,h,m,h,h,m,h,m,h,m,m,m,h,m,m,h,m,m,h,m,m,m,m,h,h,h,m,h,m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
721,RIVER,6-7*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
721,LAKE,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
721,CLIFF,8-9,8-45,40-45,32-40,38-40*,12-13,13-24,24-29,24-30,24-48*,14-15,15-33*,21-22,22-43,41-43,37-43*,23-30*,23-29,23-33*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
721,MARK,tree1-8(-1 0),tree3-8(-7 -4),tree1-13(-6 7),tree1-18(4 -1),tree2-20(4 -5),tree3-23(-6 4),tree2-23(0 -2),tree3-27(-4 5),tree1-27(1 -2),tree2-28(-2 1),tree4-28(8 2),tree3-28(3 -7),tree2-39(-3 5),tree1-39(-5 -6),tree3-40(0 2),tree2-40(7 -1),tree1-44(-2 -3),tree2-44(4 2),tree3-46(-1 -3),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
